,city_trgt_label_enc,Age_bucket_label_enc,sex_label_enc,social_class_label_enc,primary_busn_label_enc,secondary_business_label_enc,annual_income_bucket_label_enc,monthly_expenses_bucket_label_enc,old_dependents,young_dependents,home_ownership,type_of_house_label_enc,occupants_count,house_area_bucket_label_enc,sanitary_availability,water_availabity,loan_purpose_label_enc,loan_tenure_bucket_label_enc,loan_installments_bucket_label_enc
7379,11,1,0,1,30,4,3,1,0,0,1.0,3,2,1,1.0,0.5,1,0,0
9503,8,1,0,4,30,0,0,1,0,0,1.0,3,0,0,0.0,0.0,1,0,1
38150,11,1,0,4,20,1,4,0,0,2,1.0,2,4,2,0.0,0.5,28,0,0
34570,11,1,0,3,20,0,4,0,0,1,1.0,3,3,1,1.0,1.0,10,0,0
9709,7,1,0,4,20,0,0,1,0,0,1.0,2,0,0,0.0,0.0,12,0,1
31530,12,1,1,4,20,0,3,0,0,0,1.0,3,1,2,0.0,1.0,33,0,1
38386,14,1,0,1,29,0,3,0,0,2,1.0,3,4,2,0.0,0.0,14,0,0
4427,14,1,0,3,18,0,2,1,0,3,1.0,3,2,1,1.0,0.5,2,0,0
17239,18,1,0,0,15,0,2,1,0,1,1.0,2,3,2,1.0,1.0,17,0,1
15366,11,0,0,1,20,0,1,1,0,1,1.0,2,3,1,1.0,0.5,21,0,1
15722,12,1,1,1,13,2,3,0,0,2,1.0,3,1,2,0.0,1.0,21,0,0
19396,1,1,0,1,6,2,3,1,0,2,1.0,3,2,2,0.0,0.5,2,0,0
37203,11,1,0,3,20,0,3,1,0,2,1.0,3,3,2,1.0,1.0,6,0,0
26967,3,1,0,1,27,0,4,1,0,2,1.0,1,1,1,1.0,1.0,3,0,0
3340,10,1,0,3,12,0,4,1,0,0,1.0,2,1,1,1.0,0.5,28,0,0
20440,17,1,0,1,20,2,4,1,0,2,1.0,2,4,2,1.0,1.0,21,0,0
14798,11,1,0,3,20,1,2,1,0,2,1.0,3,5,2,1.0,0.0,12,0,0
14331,6,1,0,1,10,0,1,1,0,2,1.0,1,5,1,1.0,0.5,17,0,1
17962,18,1,0,2,15,0,2,1,0,0,1.0,1,3,2,1.0,1.0,17,0,1
7947,11,1,0,4,20,0,0,1,0,0,1.0,3,0,0,0.0,0.0,31,0,0
14775,14,1,0,3,20,0,3,1,0,2,1.0,3,2,2,0.0,1.0,17,0,0
7446,11,0,0,3,29,4,3,0,0,2,1.0,1,4,2,1.0,0.5,14,0,0
35513,11,1,0,1,29,4,3,1,0,1,1.0,1,4,1,1.0,0.5,14,1,1
34838,11,1,0,4,27,0,4,1,0,2,1.0,3,3,2,1.0,1.0,3,0,0
5798,14,1,1,0,20,0,3,1,0,2,1.0,2,5,1,1.0,0.5,4,0,1
