Country,Year,Life Ladder,Log GDP,Social support,Life Expectancy,Choice Freedom,Generosity,Corruption,Positive affect,Negative affect,Government confidence,Population
Indonesia,2016,5.136325359344482,9.262088775634766,0.7918305993080139,62.42499923706055,0.8299416303634644,0.49865227937698364,0.8896774053573608,0.7477544546127319,0.3415735960006714,0.8008807301521301,261556386
Indonesia,2017,5.0984015464782715,9.299781799316406,0.7955892086029053,62.54999923706055,0.8650262951850891,0.486710786819458,0.9004164338111877,0.7812778353691101,0.31917157769203186,0.8257653713226318,264650969
Indonesia,2018,5.340295791625977,9.338885307312012,0.8093788623809814,62.67499923706055,0.8793743848800659,0.510791003704071,0.8677294254302979,0.7960307002067566,0.2959868013858795,0.8376027345657349,267670549
Indonesia,2019,5.346512794494629,9.376869201660156,0.8019180297851562,62.79999923706055,0.8658591508865356,0.5541131496429443,0.8607847690582275,0.8002039194107056,0.3017027974128723,0.7822638154029846,270625567
Iraq,2015,4.493377208709717,9.205023765563965,0.6844348311424255,60.79999923706055,0.5994599461555481,0.020942628383636475,0.7621671557426453,0.47841259837150574,0.5812669396400452,0.4351637363433838,35572269
Iraq,2016,4.412537097930908,9.305413246154785,0.718956708908081,61.275001525878906,0.6661601662635803,-0.04979517683386803,0.7988664507865906,0.4711867868900299,0.5697580575942993,0.41860431432724,36610632
Iraq,2017,4.462399005889893,9.261638641357422,0.6951093673706055,61.75,0.6277220249176025,0.0013470436679199338,0.7571088075637817,0.4870179295539856,0.590538740158081,0.42405077815055847,37552789
Iraq,2018,4.8864006996154785,9.26445198059082,0.7635089159011841,62.224998474121094,0.5978227853775024,-0.06868895888328552,0.8866996169090271,0.5517740249633789,0.4820267856121063,0.3133241534233093,38433604
Ireland,2015,6.830125331878662,11.17757511138916,0.9529425501823425,70.69999694824219,0.89227694272995,0.22941021621227264,0.40875691175460815,0.7482663989067078,0.22534924745559692,0.5718410611152649,4701957
Ireland,2016,7.040731430053711,11.186503410339355,0.9581440091133118,70.80000305175781,0.8745891451835632,0.1722056269645691,0.3985443115234375,0.744257926940918,0.21106331050395966,0.5747397541999817,4755335
Ireland,2017,7.060155391693115,11.26124382019043,0.943481981754303,70.9000015258789,0.9053411483764648,0.21381719410419464,0.33708474040031433,0.7712081074714661,0.21278412640094757,0.6037996411323547,4807388
Ireland,2018,6.962335586547852,11.335309028625488,0.9378623962402344,71.0,0.8614715933799744,0.1409020870923996,0.3622102439403534,0.7536033391952515,0.21305006742477417,0.618405282497406,4867316
Ireland,2019,7.254841327667236,11.369632720947266,0.9437263607978821,71.0999984741211,0.8924586772918701,0.07061513513326645,0.37280356884002686,0.7584224939346313,0.22329986095428467,0.5812159776687622,4934340
Israel,2015,7.079411029815674,10.526912689208984,0.8641301989555359,71.80000305175781,0.7527839541435242,0.10678444802761078,0.7894299030303955,0.6516321897506714,0.2562582492828369,0.405343234539032,8380100
Israel,2016,7.159010887145996,10.550970077514648,0.8896607756614685,71.94999694824219,0.7722973227500916,0.1511167585849762,0.8040565848350525,0.6018273234367371,0.26309022307395935,0.438133180141449,8546000
Israel,2017,7.33103609085083,10.574421882629395,0.9164408445358276,72.0999984741211,0.7680763006210327,0.14268802106380463,0.7926522493362427,0.6209673881530762,0.27644315361976624,0.3893681466579437,8713300
Israel,2018,6.927178859710693,10.594217300415039,0.9095954298973083,72.25,0.7246623039245605,0.052248515188694,0.7701348066329956,0.6118062138557434,0.2820625603199005,0.42232972383499146,8882800
Israel,2019,7.331779956817627,10.61216926574707,0.9460106492042542,72.4000015258789,0.8344919085502625,0.08222158998250961,0.7428677678108215,0.597811222076416,0.2658916711807251,0.4956669211387634,9054000
Italy,2015,5.847683906555176,10.602810859680176,0.908986508846283,71.5999984741211,0.5747657418251038,-0.06624501943588257,0.9127530455589294,0.6461016535758972,0.3292090892791748,0.2606258690357208,60730582
Italy,2016,5.954524040222168,10.617362022399902,0.9272128343582153,71.67500305175781,0.623741626739502,-0.08259251713752747,0.9028012156486511,0.6324813365936279,0.3391735851764679,0.23759908974170685,60627498
Italy,2017,6.1988701820373535,10.635401725769043,0.9197912216186523,71.75,0.6328432559967041,-0.03712186962366104,0.8666679263114929,0.6128391623497009,0.3228461444377899,0.2301962971687317,60536709
Italy,2018,6.516526699066162,10.646517753601074,0.9126561284065247,71.82499694824219,0.650009274482727,-0.023380011320114136,0.8878248333930969,0.5979762077331543,0.4029753506183624,0.20662619173526764,60421760
Italy,2019,6.4454169273376465,10.662142753601074,0.8384024500846863,71.9000015258789,0.7094788551330566,-0.08449835330247879,0.8655280470848083,0.5688936114311218,0.3279600739479065,0.22192585468292236,59729081
Jamaica,2017,5.889759063720703,9.16952896118164,0.9130298495292664,66.5999984741211,0.8606763482093811,-0.13062869012355804,0.8827961683273315,0.7000218629837036,0.24339963495731354,0.3482017517089844,2920848
Jamaica,2019,6.309238910675049,9.187788963317871,0.8778144717216492,66.5999984741211,0.8906708359718323,-0.1379692554473877,0.8853300213813782,0.7217233777046204,0.1952841430902481,0.4428591728210449,2948277
Japan,2015,5.8796844482421875,10.606649398803711,0.9226571917533875,73.5999984741211,0.8316941857337952,-0.15881866216659546,0.654443085193634,0.7022688984870911,0.17640863358974457,0.3528672158718109,127141000
Japan,2016,5.95465087890625,10.615311622619629,0.8997738361358643,73.7249984741211,0.8360646367073059,-0.06590267270803452,0.6976393461227417,0.6895833015441895,0.192402645945549,0.36220064759254456,127076000
Japan,2017,5.9106764793396,10.63357162475586,0.8819612860679626,73.8499984741211,0.8493965864181519,-0.20949307084083557,0.6591986417770386,0.6917625665664673,0.1755121797323227,0.41248995065689087,126972000
Japan,2018,5.793575286865234,10.641170501708984,0.8864319324493408,73.9749984741211,0.7734721302986145,-0.26497501134872437,0.6867845058441162,0.6494027972221375,0.18530015647411346,0.384880393743515,126811000
Japan,2019,5.908039093017578,10.645959854125977,0.8776509165763855,74.0999984741211,0.8064715266227722,-0.258060485124588,0.6171878576278687,0.6932767629623413,0.19441038370132446,0.41121363639831543,126633000
Kazakhstan,2015,5.949995040893555,10.097837448120117,0.9313492774963379,63.400001525878906,0.7401328086853027,-0.03890550881624222,0.7138442993164062,0.6820675134658813,0.1739940047264099,0.8162475228309631,17542806
Kazakhstan,2016,5.5335516929626465,10.09455680847168,0.9278106689453125,63.79999923706055,0.7828055620193481,-0.03796536102890968,0.7020166516304016,0.6406584978103638,0.15541473031044006,0.7597261667251587,17794055
Kazakhstan,2017,5.882351398468018,10.121134757995605,0.9140931963920593,64.19999694824219,0.7452439665794373,-0.03676287829875946,0.7552506923675537,0.697624921798706,0.17148640751838684,0.7557057738304138,18037776
Kazakhstan,2018,6.007636070251465,10.148171424865723,0.9366567134857178,64.5999984741211,0.8401829600334167,-0.09997960925102234,0.8237829804420471,0.6108769774436951,0.16154228150844574,0.6150319576263428,18276452
Kazakhstan,2019,6.272268295288086,10.179291725158691,0.9510501027107239,65.0,0.8523874282836914,-0.057007014751434326,0.7082791924476624,0.7114754915237427,0.13913293182849884,0.6717934608459473,18513673
Kenya,2015,4.3576178550720215,8.312748908996582,0.7769230604171753,56.099998474121094,0.7929903268814087,0.21588265895843506,0.8525498509407043,0.6734850406646729,0.1724221110343933,0.7479887008666992,47878339
